original_path,archived_path,compatibility_score,raw_classification,classification,secret_risk,target_layer,target_stage,micro_pyramid_band,required_adaptation,estimated_effort,risk_level,recommended_action,blocked,block_reason
server/services/memory-access-policy.ts,archive/legacy-codebase/20260529-1150/source/server/services/memory-access-policy.ts,0.667,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/agent-export-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-export-service.ts,0.653,adapt_candidate,adapt_candidate,P2,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/external-agent-api-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/external-agent-api-service.ts,0.653,adapt_candidate,adapt_candidate,P2,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/personal-agent-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/personal-agent-service.ts,0.653,adapt_candidate,adapt_candidate,P2,stage5_micro_pyramid,stage_5_micro_pyramid,personal_context,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
client/src/studio3d/DebateStudio3D.tsx,archive/legacy-codebase/20260529-1150/source/client/src/studio3d/DebateStudio3D.tsx,0.643,reference_only,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,professional_business,rewrite implementation using concept only,medium,P3,use as reference only,False,
client/src/pages/AgentMarketplaceSafeClone.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/AgentMarketplaceSafeClone.tsx,0.63,reference_only,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,rewrite implementation using concept only,medium,P3,use as reference only,False,
server/services/agent-progression-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-progression-service.ts,0.63,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/user-agent-builder-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/user-agent-builder-service.ts,0.63,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
tests/omni-channel-audience.test.ts,archive/legacy-codebase/20260529-1150/source/tests/omni-channel-audience.test.ts,0.627,reference_only,adapt_candidate,P2,cross_cutting,cross_cutting_signal_culture,,rewrite implementation using concept only,low,P3,use as reference only,False,
server/services/breaking-news-agent.ts,archive/legacy-codebase/20260529-1150/source/server/services/breaking-news-agent.ts,0.615,adapt_candidate,adapt_candidate,P2,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/social-caption-agent.ts,archive/legacy-codebase/20260529-1150/source/server/services/social-caption-agent.ts,0.615,adapt_candidate,adapt_candidate,P2,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/feed-test.ts,archive/legacy-codebase/20260529-1150/source/server/services/feed-test.ts,0.605,adapt_candidate,adapt_candidate,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
server/services/marketplace-review-trust-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/marketplace-review-trust-service.ts,0.605,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,reputation_gluon,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
tests/safety/_fixtures.ts,archive/legacy-codebase/20260529-1150/source/tests/safety/_fixtures.ts,0.605,reference_only,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,rewrite implementation using concept only,medium,P3,use as reference only,False,
client/src/components/dashboard/SignalCard.tsx,archive/legacy-codebase/20260529-1150/source/client/src/components/dashboard/SignalCard.tsx,0.593,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
client/src/legacy/dashboard/SignalCard.tsx,archive/legacy-codebase/20260529-1150/source/client/src/legacy/dashboard/SignalCard.tsx,0.593,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/middleware/external-agent-auth.ts,archive/legacy-codebase/20260529-1150/source/server/middleware/external-agent-auth.ts,0.593,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/agent-learning-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-learning-service.ts,0.593,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/agent-passport-revocation-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-passport-revocation-service.ts,0.593,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/routes/registry.ts,archive/legacy-codebase/20260529-1150/source/server/routes/registry.ts,0.58,adapt_candidate,adapt_candidate,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
server/services/omni-channel-audience-safety-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/omni-channel-audience-safety-service.ts,0.58,adapt_candidate,adapt_candidate,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
server/routes/neural-newsroom-routes.ts,archive/legacy-codebase/20260529-1150/source/server/routes/neural-newsroom-routes.ts,0.58,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/newsroom-preview-routes.ts,archive/legacy-codebase/20260529-1150/source/server/routes/newsroom-preview-routes.ts,0.58,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/production-house-routes.ts,archive/legacy-codebase/20260529-1150/source/server/routes/production-house-routes.ts,0.58,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/audience-audit-export-notifier.ts,archive/legacy-codebase/20260529-1150/source/server/services/audience-audit-export-notifier.ts,0.58,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/audience-audit-history-email-scheduler.ts,archive/legacy-codebase/20260529-1150/source/server/services/audience-audit-history-email-scheduler.ts,0.58,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/audience-gateway-event-log-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/audience-gateway-event-log-service.ts,0.58,adapt_candidate,adapt_candidate,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
client/src/components/production-house/virtual-sets/lighting-presets.ts,archive/legacy-codebase/20260529-1150/source/client/src/components/production-house/virtual-sets/lighting-presets.ts,0.58,reference_only,adapt_candidate,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/src/components/production-house/virtual-sets/manifests.ts,archive/legacy-codebase/20260529-1150/source/client/src/components/production-house/virtual-sets/manifests.ts,0.58,reference_only,adapt_candidate,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
server/services/broadcast-sweep-scheduler.ts,archive/legacy-codebase/20260529-1150/source/server/services/broadcast-sweep-scheduler.ts,0.58,adapt_candidate,adapt_candidate,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/production-house-storage.ts,archive/legacy-codebase/20260529-1150/source/server/services/production-house-storage.ts,0.58,adapt_candidate,adapt_candidate,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/avatar-video-render-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/avatar-video-render-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/broadcast-grade-screen-safety-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/broadcast-grade-screen-safety-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/broll/resolver.ts,archive/legacy-codebase/20260529-1150/source/server/services/broll/resolver.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/broll/types.ts,archive/legacy-codebase/20260529-1150/source/server/services/broll/types.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/digital-world-overview-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/digital-world-overview-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/gateway-block-alert-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/gateway-block-alert-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/knowledge-graph-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/knowledge-graph-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/live-debate-studio-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/live-debate-studio-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/news-to-debate-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/news-to-debate-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,debate_podcast,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/podcast-script-engine.ts,archive/legacy-codebase/20260529-1150/source/server/services/podcast-script-engine.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,debate_podcast,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/safe-mode-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/safe-mode-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/social-distribution-approval-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/social-distribution-approval-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/virtual-production-screen-director.ts,archive/legacy-codebase/20260529-1150/source/server/services/virtual-production-screen-director.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/youtube-publishing-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/youtube-publishing-service.ts,0.58,adapt_candidate,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
server/services/newsroom/claimExtractionService.ts,archive/legacy-codebase/20260529-1150/source/server/services/newsroom/claimExtractionService.ts,0.58,adapt_candidate,adapt_candidate,none,stage6_boundary,stage_6_boundary,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
server/services/promotion-selector-agent.ts,archive/legacy-codebase/20260529-1150/source/server/services/promotion-selector-agent.ts,0.577,adapt_candidate,adapt_candidate,P2,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
tests/safety/fixtures/lint-good.txt,archive/legacy-codebase/20260529-1150/source/tests/safety/fixtures/lint-good.txt,0.57,reference_only,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,risk_safety,rewrite implementation using concept only,medium,P3,use as reference only,False,
server/services/agent-behavior-engine.ts,archive/legacy-codebase/20260529-1150/source/server/services/agent-behavior-engine.ts,0.568,reference_only,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,knowledge_contribution,rewrite implementation using concept only,medium,P3,use as reference only,False,
tests/e2e/admin-auth-paths.ts,archive/legacy-codebase/20260529-1150/source/tests/e2e/admin-auth-paths.ts,0.567,adapt_candidate,adapt_candidate,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
tests/_helpers/jsdom-env.ts,archive/legacy-codebase/20260529-1150/source/tests/_helpers/jsdom-env.ts,0.567,reference_only,adapt_candidate,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/src/pages/AgentMarketplace.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/AgentMarketplace.tsx,0.555,reference_only,adapt_candidate,none,stage5_micro_pyramid,stage_5_micro_pyramid,marketplace_product,rewrite implementation using concept only,medium,P3,use as reference only,False,
server/services/system-agent-seed.ts,archive/legacy-codebase/20260529-1150/source/server/services/system-agent-seed.ts,0.553,adapt_candidate,adapt_candidate,P2,stage5_micro_pyramid,stage_5_micro_pyramid,community,wrapper or interface adaptation required,medium,P3,adapt through wrapper or focused refactor,False,
client/src/pages/admin/omni-channel-audience/_types.ts,archive/legacy-codebase/20260529-1150/source/client/src/pages/admin/omni-channel-audience/_types.ts,0.542,adapt_candidate,reference_only,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
client/src/pages/admin/permanent-avatars/shared.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/admin/permanent-avatars/shared.tsx,0.542,adapt_candidate,reference_only,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
server/routes/preview-studio-routes.ts,archive/legacy-codebase/20260529-1150/source/server/routes/preview-studio-routes.ts,0.542,adapt_candidate,reference_only,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
server/services/preview-studio-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/preview-studio-service.ts,0.542,adapt_candidate,reference_only,none,admin_governance,admin_governance,,wrapper or interface adaptation required,medium_high,P2,adapt through wrapper or focused refactor,False,
client/src/pages/admin/omni-channel-audience/AuditExportCard.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/admin/omni-channel-audience/AuditExportCard.tsx,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
client/src/pages/admin/omni-channel-audience/AuditExportNotifierCard.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/admin/omni-channel-audience/AuditExportNotifierCard.tsx,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
client/src/pages/admin/omni-channel-audience/GatewayAlertSettingsAuditCard.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/admin/omni-channel-audience/GatewayAlertSettingsAuditCard.tsx,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
client/src/pages/admin/omni-channel-audience/LiveAudienceQueueCard.tsx,archive/legacy-codebase/20260529-1150/source/client/src/pages/admin/omni-channel-audience/LiveAudienceQueueCard.tsx,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/autopilot-newsroom-routes.ts,archive/legacy-codebase/20260529-1150/source/server/routes/autopilot-newsroom-routes.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/broll.ts,archive/legacy-codebase/20260529-1150/source/server/routes/broll.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/cost.ts,archive/legacy-codebase/20260529-1150/source/server/routes/cost.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/news-sources.ts,archive/legacy-codebase/20260529-1150/source/server/routes/news-sources.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/newsroom-packages.ts,archive/legacy-codebase/20260529-1150/source/server/routes/newsroom-packages.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/routes/playout.ts,archive/legacy-codebase/20260529-1150/source/server/routes/playout.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/fallback-preset-audit-settings-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/fallback-preset-audit-settings-service.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/gateway-alert-settings-audit-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/gateway-alert-settings-audit-service.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/newsroom/continuousNewsroomScheduler.ts,archive/legacy-codebase/20260529-1150/source/server/services/newsroom/continuousNewsroomScheduler.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/playout-persistence-db.ts,archive/legacy-codebase/20260529-1150/source/server/services/playout-persistence-db.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/playout-queue-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/playout-queue-service.ts,0.542,adapt_candidate,reference_only,none,cross_cutting,cross_cutting_signal_culture,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
client/remotion/BroadcastComposition.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/BroadcastComposition.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/ShortComposition.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/ShortComposition.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/layers/AnchorFrame.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/layers/AnchorFrame.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/layers/Background.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/layers/Background.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/layers/BreakingBar.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/layers/BreakingBar.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/layers/ChannelBug.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/layers/ChannelBug.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/layers/LowerThird.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/layers/LowerThird.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/layers/SourcePanel.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/layers/SourcePanel.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/remotion/layers/Ticker.tsx,archive/legacy-codebase/20260529-1150/source/client/remotion/layers/Ticker.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
client/src/context/AuthContext.tsx,archive/legacy-codebase/20260529-1150/source/client/src/context/AuthContext.tsx,0.542,reference_only,reference_only,none,reference_only,reference_only,,rewrite implementation using concept only,low,P3,use as reference only,False,
server/services/aiJobService.ts,archive/legacy-codebase/20260529-1150/source/server/services/aiJobService.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/anchor-director-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/anchor-director-service.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/apexload-newsroom-optimizer.ts,archive/legacy-codebase/20260529-1150/source/server/services/apexload-newsroom-optimizer.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/audience-connector-rotation-notifier.ts,archive/legacy-codebase/20260529-1150/source/server/services/audience-connector-rotation-notifier.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/audience-legacy-token-dispatch-alert-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/audience-legacy-token-dispatch-alert-service.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/audience-retention-failure-alert-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/audience-retention-failure-alert-service.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/broadcast-brief-builder-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/broadcast-brief-builder-service.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/broadcast-compositor-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/broadcast-compositor-service.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/broadcast-sweep-failure-alert-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/broadcast-sweep-failure-alert-service.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/broadcast-sweep-service.ts,archive/legacy-codebase/20260529-1150/source/server/services/broadcast-sweep-service.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
server/services/broll/adapters/public-domain.ts,archive/legacy-codebase/20260529-1150/source/server/services/broll/adapters/public-domain.ts,0.542,adapt_candidate,reference_only,none,reference_only,reference_only,,wrapper or interface adaptation required,low,P3,adapt through wrapper or focused refactor,False,
